,ids_num,img_num,auc
0,2,1, 0.519091
1,2,5,0.508632
2,2,10,0.494559
3,2,20,0.477222
4,2,50,0.476785
5,2,100,0.515356
6,2,200,0.523275
7,2,300,0.525822
8,5,1,0.474661
9,5,5,0.506061
10,5,10,0.554062
11,5,20,0.510285
12,5,50,0.509996
13,5,100,0.541201
14,5,200,0.547277
15,5,300,0.61536
16,10,1,0.497237
17,10,5,0.485965
18,10,10,0.484446
19,10,20,0.501876
20,10,50,0.500267
21,10,100,0.527334
22,10,200,0.617268
23,10,300,0.697684
24,50,1,0.501989
25,50,5,0.496861
26,50,10,0.501204
27,50,20,0.558956
28,50,50,0.695178
29,50,100,0.713312
30,50,200,0.774997
31,50,300,0.795855
32,100,1,0.487032
33,100,5,0.499455
34,100,10,0.509787
35,100,20,0.5742
36,100,50,0.693922
37,100,100,0.820181
38,100,200,0.871573
39,100,300,0.867338
