,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,O*NET-SOC Code,round O*NET-SOC Code
n000001,-6.048023790595817,31.14601721689702,-6.463289816519059,-19.362091786945744,-2.210562784445261,-16.61461518069756,41.633504060762036,10.688064233933446,6.795334352625649,-10.07550987812467,-18.934247625370766,-4.455094030013976,-14.382357085847875,14.237373702159116,-5.243981388776098,113031.0,113031.0
n000002,0.8030965612055936,0.7029425324541752,4.5198250921256165,22.599889508797002,-2.5639413187899907,-4.958370807233687,84.53061979585306,-31.19791901598291,18.529313670415092,-26.405972700682437,-1.857188671992176,-77.77881277140926,-15.710304215989854,14.539392282644064,58.085615293945374,113031.0,113031.0
n000003,-19.90273386193567,-43.08760073427526,39.413731661202114,12.228272186939009,-31.289882287404087,7.871969622367371,-16.449457943267525,23.589758082142826,-10.559641535672878,-27.713399677447338,-18.46944103442194,25.677272963859934,-9.252729183231896,-18.812678612149444,69.99249962528413,113031.0,113031.0
n000004,-1.0692229689297006,-13.76682454737637,-9.280331848574985,17.889795682719438,-24.56362310828006,30.788603405252214,-52.06652145850213,-9.584459124374959,-8.397563286203498,-47.86749855693701,32.03074619411748,20.130692994710643,17.15374527725803,13.372572390265509,-52.28421206979134,113031.0,113031.0
n000005,20.37614420100202,-24.536491093806717,-22.27293625718716,11.49473138770016,56.69371654651651,90.94643477271083,-4.570699802600016,-6.720674430124237,-27.987649133296706,-25.13784887028081,-23.939284088083017,43.082473020090056,-4.511921143442096,-23.102498633740424,-13.929602887348064,113031.0,113031.0
n000006,-4.737490180699762,-6.384913580179374,-11.210598097562901,18.86823186997445,-25.678137846682052,-10.425245424472372,-12.868572346545063,17.811662561184885,-14.569345912948766,39.76412870154814,31.630635683112295,-43.28224899813161,28.68876373326689,-39.10773592917239,-3.7727739831474807,113031.0,113031.0
n000007,-11.749972094390243,6.274054067695737,30.370979974748447,26.187911190229094,-16.948627186968732,-11.154655065854428,-33.38694610212027,25.308759556314456,-25.372339839455538,24.54349278011571,-37.35554910322657,88.97507862038411,44.16694178428139,-28.14059652948184,-36.5021300771103,113031.0,113031.0
n000008,47.830021491178954,1.585671088237305,12.87574866068799,12.722725783467709,32.92372326312828,-23.39253809957756,6.530893923877429,-54.137382442050495,-40.404195304191084,-20.231979680062786,67.99761470227605,3.080693279313325,-32.260949387561006,-39.52609160135641,5.295725656306934,113031.0,113031.0
n000009,-16.22334603102415,8.993579609366074,0.5451874146549014,11.989987954284686,44.756715474804096,6.457429626373541,26.16756009237712,40.10150096078934,35.34162553138857,-6.212548607216034,14.546703293524013,4.562793818669965,-14.531334229042665,-12.396146734489099,-7.393341548926789,113031.0,113031.0
n000010,43.53416818953524,36.93563073285563,4.298818564751398,-30.228538602474917,-0.9393402830483222,18.207209052748404,28.148716426793044,-58.14807466571729,15.540241816462903,-28.12213824483894,25.711489850368267,-16.083606331072954,8.409710422192692,22.4139526168932,26.95642890715551,113031.0,113031.0
n000011,18.78475401234524,-6.837965266382301,28.805869096273554,-31.044080882831803,-47.27074196891115,-1.3555174362766351,-6.624556118207741,29.150158366981255,-18.879528375323723,44.41903991567526,36.422595830072815,-29.087035870773278,24.050800612482316,4.399516520054807,-30.960510777312113,113031.0,113031.0
n000012,-54.23941413013398,-23.535088435395117,23.828687153580134,13.359884821753354,17.081540619215716,5.043317823853683,32.40260715984063,-9.286613147473739,53.8521197183683,23.512826562557645,-3.900602969495792,-61.17314424044065,44.01977052093464,1.5318286532862593,6.811364011891737,113031.0,113031.0
n000013,-10.038437322703016,-25.734872946183962,-17.12013616939925,-1.021851441741676,16.189671956110267,22.963804360333665,30.976786632745394,-28.97609759357928,-15.493762412419226,7.756775983764438,1.1938076603979577,-10.027976856923702,-33.92933953308853,-18.328411874706138,57.43693481330855,113031.0,113031.0
